City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
328,San Carlos De Bariloche,AR,-41.1456,-71.3082,37.15,65,40,13.8
329,Karachi,PK,24.9056,67.0822,87.62,25,0,4.61
330,Nouadhibou,MR,20.931,-17.0347,67.98,88,49,16.11
331,Vaitape,PF,-16.5167,-151.75,80.65,72,88,13.94
332,Chara,RU,56.9064,118.2631,20.61,36,99,4.7
333,Hofn,IS,64.2539,-15.2082,42.87,56,64,11.41
334,Atakpame,TG,7.5333,1.1333,70.39,94,51,2.93
335,Bima,ID,-8.4667,118.7167,93.88,48,100,1.48
336,Leningradskiy,RU,69.3833,178.4167,18.66,95,100,4.85
337,Krishnarajasagara,IN,12.4089,76.5797,78.73,73,40,3.44
338,Laredo,US,27.5064,-99.5075,82.4,89,1,8.05
339,Jalu,LY,29.0331,21.5482,67.51,64,1,7.92
340,Mount Darwin,ZW,-16.7725,31.5838,71.2,52,0,2.37
341,Davila,PH,18.4726,120.5763,85.77,72,74,15.5
342,Saint-Georges,GD,12.0564,-61.7485,82.08,89,20,12.66
343,Helena,US,46.5927,-112.0361,38.41,57,75,7.0
344,Kijang,KR,35.2442,129.2139,80.33,67,4,8.21
345,Mount Isa,AU,-20.7333,139.5,87.57,11,83,10.36
346,Darhan,MN,49.4867,105.9228,28.42,34,26,7.96
347,Butembo,CD,0.15,29.2833,61.23,88,13,2.24
348,Ahuimanu,US,21.4447,-157.8378,78.51,75,75,11.5
349,Ankazoabo,MG,-22.2833,44.5167,83.98,25,63,4.25
350,Ceres,US,37.5949,-120.9577,62.06,66,1,0.0
351,Lamu,KE,-2.2717,40.902,79.02,79,33,9.84
352,Vila Velha,BR,-20.3297,-40.2925,75.15,83,40,6.91
353,Batemans Bay,AU,-35.7167,150.1833,66.2,44,66,4.09
354,Samana,DO,19.2056,-69.3369,77.68,89,100,3.29
355,Mabaruma,GY,8.2,-59.7833,75.31,95,71,2.84
356,Santo Antonio Da Platina,BR,-23.295,-50.0772,64.78,96,27,2.24
357,Hobyo,SO,5.3505,48.5268,80.13,76,100,11.21
358,Constitucion,CL,-35.3333,-72.4167,44.55,72,0,8.12
359,Achi,CO,8.5682,-74.554,74.77,99,100,1.59
360,Dunedin,NZ,-45.8742,170.5036,52.81,60,55,5.99
361,Te Anau,NZ,-45.4167,167.7167,54.99,54,18,5.64
362,Blatnica,BA,44.4864,17.8233,34.21,97,90,1.97
363,General Roca,AR,-39.0333,-67.5833,48.6,40,0,18.86
364,Tautira,PF,-17.7333,-149.15,80.62,77,53,13.49
365,Bucarasica,CO,8.041,-72.8654,68.9,96,90,1.5
366,Flin Flon,CA,54.7682,-101.865,34.86,96,100,10.98
367,Kaka,TM,37.3482,59.6143,68.38,12,40,2.66
368,Alta Floresta,BR,-9.8756,-56.0861,72.03,95,100,2.93
369,Honiara,SB,-9.4333,159.95,84.25,73,74,5.55
370,Tevaitoa,PF,-16.7833,-151.5,80.56,72,94,13.56
371,Anloga,GH,5.7947,0.8973,79.39,85,80,6.62
372,Dubti,ET,11.7361,41.0853,86.07,31,7,3.4
373,Mwinilunga,ZM,-11.7358,24.4293,68.05,56,37,4.21
374,Mangrol,IN,21.1167,70.1167,86.04,48,9,10.33
375,Beringovskiy,RU,63.05,179.3167,18.21,78,18,8.57
376,Hamza,UZ,40.4264,71.4956,66.15,20,0,4.07
377,Horsham,GB,51.064,-0.3272,56.01,92,75,5.75
378,Nadvoitsy,RU,63.8667,34.3167,38.41,89,60,12.21
379,Port Hardy,CA,50.6996,-127.4199,48.38,100,90,12.66
380,Rio Gallegos,AR,-51.6226,-69.2181,48.25,40,0,14.97
381,Scalea,IT,39.813,15.7956,51.62,61,15,8.59
382,Great Yarmouth,GB,52.6083,1.7305,54.95,79,100,19.04
383,Lagoa,PT,39.05,-27.9833,69.39,85,74,14.92
384,Hami,CN,42.8,93.45,55.8,21,8,4.65
385,Lorengau,PG,-2.0226,147.2712,86.4,67,29,9.33
386,Conde,BR,-7.2597,-34.9075,76.46,94,75,9.22
387,Vianopolis,BR,-16.7419,-48.5164,68.72,84,100,3.2
388,Faya,SA,18.3851,42.4509,64.92,22,0,4.9
389,Hervey Bay,AU,-25.2986,152.8535,77.11,78,38,20.27
390,Oranjemund,NA,-28.55,16.4333,59.63,67,96,9.8
391,Atkinson,US,42.8384,-71.147,64.4,89,90,0.0
392,Port Macquarie,AU,-31.4333,152.9167,78.89,32,0,10.8
393,Okhotsk,RU,59.3833,143.3,29.95,62,1,13.98
394,El Vigia,VE,8.6219,-71.6506,77.41,86,97,3.04
395,Nacala,MZ,-14.5428,40.6728,80.1,72,7,4.18
396,Araxa,BR,-19.5933,-46.9406,64.36,94,0,2.3
397,Shelburne,CA,44.0787,-80.2041,65.23,99,100,8.95
398,Turukhansk,RU,65.8167,87.9833,35.89,100,100,16.35
399,Seddon,AU,-37.8068,144.8916,55.74,89,90,5.01
400,Fare,PF,-16.7,-151.0167,80.47,73,36,13.98
401,Gobabis,NA,-22.45,18.9667,65.55,20,5,6.08
402,Jumla,NP,29.2747,82.1838,71.83,24,0,4.0
403,Riyadh,SA,24.6877,46.7219,80.74,18,0,3.47
404,Rawlins,US,41.7911,-107.2387,28.83,64,90,12.66
405,Mindelheim,DE,48.05,10.4833,35.04,89,0,2.3
406,Omsukchan,RU,62.5333,155.8,12.54,93,100,5.41
